,log_price
0,4.0943445622221
1,3.1354942159291497
2,4.248495242049359
3,2.70805020110221
4,3.5553480614894135
5,3.6888794541139363
6,4.584967478670572
7,3.828641396489095
8,3.7612001156935624
9,3.4011973816621555
10,3.871201010907891
11,5.298317366548036
12,5.552959584921617
13,4.060443010546419
14,4.07753744390572
15,3.4011973816621555
16,3.4657359027997265
17,4.7535901911063645
18,3.970291913552122
19,3.367295829986474
20,3.4965075614664802
21,3.332204510175204
22,4.343805421853684
23,4.007333185232471
24,4.442651256490317
25,3.7612001156935624
26,4.465908118654584
27,3.4011973816621555
28,3.9318256327243257
29,3.6888794541139363
30,3.912023005428146
31,3.4011973816621555
32,2.833213344056216
33,3.6888794541139363
34,3.2188758248682006
35,4.02535169073515
36,4.127134385045092
37,3.6635616461296463
38,3.6635616461296463
39,3.9889840465642745
40,3.332204510175204
41,4.110873864173311
42,4.3694478524670215
43,5.135798437050262
44,3.912023005428146
45,3.1780538303479458
46,3.5263605246161616
47,3.6888794541139363
48,5.19295685089021
49,3.5553480614894135
50,3.4657359027997265
51,4.0943445622221
52,3.367295829986474
53,3.044522437723423
54,4.442651256490317
55,3.8066624897703196
56,4.060443010546419
57,4.5217885770490405
58,4.663439094112067
59,3.58351893845611
60,3.091042453358316
61,3.8066624897703196
62,4.605170185988092
63,3.6888794541139363
64,5.159055299214529
65,5.579729825986222
66,4.1588830833596715
67,4.804021044733257
68,5.14166355650266
69,5.075173815233827
70,5.0106352940962555
71,3.8066624897703196
72,3.8066624897703196
73,5.153291594497779
74,4.867534450455582
75,3.5553480614894135
76,4.787491742782046
77,4.343805421853684
78,3.091042453358316
79,3.9889840465642745
80,4.672828834461906
81,3.5553480614894135
82,4.68213122712422
83,4.356708826689592
84,4.382026634673881
85,3.912023005428146
86,4.007333185232471
87,2.995732273553991
88,3.713572066704308
89,3.4011973816621555
90,3.4965075614664802
91,4.0943445622221
92,3.4657359027997265
93,3.58351893845611
94,3.8066624897703196
95,2.4849066497880004
96,5.568344503761097
97,4.0943445622221
98,4.007333185232471
99,3.6375861597263857
100,3.6635616461296463
101,3.912023005428146
102,4.23410650459726
103,3.2188758248682006
104,3.332204510175204
105,3.4657359027997265
106,4.574710978503383
107,3.4011973816621555
108,3.8918202981106265
109,3.8066624897703196
110,3.4339872044851463
111,3.8066624897703196
112,3.9318256327243257
113,8.987196820661973
114,3.6888794541139363
115,3.5553480614894135
116,3.6888794541139363
117,4.382026634673881
118,3.4011973816621555
119,4.30406509320417
120,6.18826412308259
121,4.30406509320417
122,3.713572066704308
123,5.0106352940962555
124,4.330733340286331
125,3.8066624897703196
126,4.007333185232471
127,3.1354942159291497
128,4.795790545596741
129,3.6888794541139363
130,4.174387269895637
131,3.8918202981106265
132,3.6635616461296463
133,4.927253685157205
134,3.5263605246161616
135,3.295836866004329
136,5.1298987149230735
137,3.2188758248682006
138,3.1780538303479458
139,3.258096538021482
140,3.5553480614894135
141,4.9344739331306915
142,3.9512437185814275
143,3.8066624897703196
144,3.4011973816621555
145,3.5553480614894135
146,4.820281565605037
147,3.4011973816621555
148,3.8501476017100584
149,3.6375861597263857
150,3.5553480614894135
151,4.0943445622221
152,3.9512437185814275
153,4.1588830833596715
154,4.356708826689592
155,4.127134385045092
156,3.6888794541139363
157,4.442651256490317
158,3.5553480614894135
159,4.382026634673881
160,4.248495242049359
161,3.6635616461296463
162,4.248495242049359
163,3.5263605246161616
164,4.941642422609304
