id,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,reviews_per_month,has_license,Dist_Acropolis,Dist_Syntagma
1281,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,3,1,2,45,1,1125,1,1125,1,1125,1,2,13,43,318,270,1,4.68,1,0.606411034,0.28640597
1282,0,1,0,EMPORIKO TRIGONO-PLAKA,Entire home/apt,3,1,2,35,1,1125,2,1125,2,1125,1,5,25,41,221,155,1,2.84,0,0.447774926,0.948811614
1283,1,1,1,THISEIO,Entire home/apt,4,1,3,54,1,1125,1,1125,1,1125,1,0,0,0,0,223,1,3.8,1,1.022912355,1.732565507
1284,0,1,0,PAGKRATI,Entire home/apt,5,1.5,2,60,4,365,4,365,4,365,1,1,1,1,1,7,0,0.12,1,2.220704998,1.52665962
1285,0,1,1,ELLINOROSON,Entire home/apt,3,1.5,1,30,3,365,3,1125,3,1125,1,13,41,71,346,165,1,2.78,1,4.601451697,3.743612169
1286,1,1,0,GKYZI,Entire home/apt,2,1,1,25,2,1125,2,1125,2,1125,1,0,0,0,0,129,0,2.21,1,2.966376793,2.189046985
1287,1,1,1,GOYBA,Entire home/apt,4,1.5,1,52,3,1125,3,1125,3,1125,1,0,0,0,81,1,1,0.02,1,2.084177878,2.104723644
1288,0,1,1,EMPORIKO TRIGONO-PLAKA,Private room,16,4.5,7,281,1,1125,1,1125,1,1125,1,0,9,16,184,6,0,2.22,1,0.529088252,0.878819597
1289,1,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,2,1,1,30,3,1125,3,1125,3,1125,1,0,0,0,0,90,0,1.59,1,0.736679476,1.441862158
1290,1,1,1,NEOS KOSMOS,Entire home/apt,4,2,3,95,2,1125,2,1125,2,1125,1,5,24,54,144,100,0,1.81,1,0.745749233,1.098974952
1291,0,1,1,KYPSELI,Private room,2,1.5,2,15,1,1125,1,1125,1,1125,1,23,53,83,84,102,1,1.83,1,2.978786648,2.510469341
1292,0,1,1,KYPSELI,Private room,2,1,2,14,1,1125,1,1125,1,1125,1,0,0,13,14,95,1,1.75,1,2.978786648,2.510469341
1293,1,1,1,AGIOS KONSTANTINOS-PLATEIA BATHIS,Entire home/apt,2,1,1,40,1,1125,1,1125,1,1125,1,5,30,47,264,464,1,7.91,1,1.185822459,1.427437066
