id,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,reviews_per_month,has_license,Dist_Acropolis,Dist_Syntagma
0,1,1,1,AMPELOKIPOI,Entire home/apt,8,2,5,79,1,1125,8,1125,2.3,1125,1,19,49,79,170,32,1,0.41,1,3.889738957,3.024713541
1,1,1,1,AMPELOKIPOI,Entire home/apt,4,1,1,50,1,1125,8,1125,1.5,1125,1,26,56,86,361,52,1,0.72,1,3.849331327,2.985638362
2,1,1,1,AMPELOKIPOI,Entire home/apt,2,1,1,38,1,1125,8,1125,2.2,1125,1,15,26,56,331,71,1,0.97,1,3.860750101,2.996545771
3,1,1,1,AMPELOKIPOI,Entire home/apt,4,1,2,48,1,1125,8,1125,1.5,1125,1,22,52,82,357,24,1,0.33,1,3.849331327,2.985638362
4,1,1,1,AMPELOKIPOI,Entire home/apt,4,1,1,47,1,1125,8,1125,1.8,1125,1,0,27,57,208,17,1,0.23,1,3.900523863,3.036795718
5,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,2,59,2,1125,2,1125,2,1125,1,25,52,82,357,465,0,4.65,1,0.419323886,0.522630434
6,0,1,1,KERAMEIKOS,Private room,1,1,0,39,1,730,1,730,1,730,0,0,0,0,0,0,0,1.2,0,1.174516105,1.718249756
7,0,1,0,AGIOS NIKOLAOS,Entire home/apt,5,1,2,30,5,365,5,365,5,365,1,28,58,88,363,71,0,0.94,0,3.80359583,3.50047156
8,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,7,1.5,5,120,2,365,2,365,2,365,1,0,0,0,267,121,1,1.45,1,0.623218831,0.3854156
9,0,1,0,PAGKRATI,Entire home/apt,2,1,1,70,10,730,10,730,10,730,1,28,58,88,363,3,0,0.03,0,1.594980656,1.053675705
10,0,1,1,AGIOS KONSTANTINOS-PLATEIA BATHIS,Entire home/apt,6,2,4,50,2,1125,2,1125,2,1125,1,16,33,48,323,343,1,3.31,1,1.990832656,1.9686059
11,0,1,1,STADIO,Entire home/apt,3,1,1,28,3,300,3,300,3,300,1,2,17,47,322,9,0,0.13,0,1.397486096,1.048925017
12,1,1,1,AKADIMIA PLATONOS,Entire home/apt,2,1.5,1,32,2,1125,2,1125,2,1125,1,0,0,23,298,458,0,4.51,1,2.651284432,2.911271193
13,0,1,0,STADIO,Entire home/apt,4,1,3,45,4,730,4,730,4,730,1,0,0,16,291,21,0,0.27,0,1.906352268,1.498790537
14,0,0,0,AGIOS KONSTANTINOS-PLATEIA BATHIS,Entire home/apt,4,1,4,75,4,730,4,730,4,730,1,30,60,90,365,0,0,1.2,0,2.10842981,1.786038445
15,0,1,1,AKROPOLI,Entire home/apt,3,1,1,65,2,32,2,32,2,32,1,0,0,0,172,122,0,1.19,1,0.077080102,0.792415767
16,0,1,1,NEA KYPSELI,Entire home/apt,5,1.5,0,56,2,365,2,365,2,365,1,25,55,85,360,31,1,0.58,1,3.809387479,3.130033796
17,1,1,1,KOLONAKI,Entire home/apt,2,1,1,40,5,150,5,150,5,150,1,0,23,53,328,8,0,0.07,1,1.675823423,0.812065646
18,0,1,1,NEA KYPSELI,Entire home/apt,7,1,7,69,2,365,2,365,2,365,1,18,46,76,345,46,1,0.45,1,3.809387479,3.130033796
19,0,1,1,PAGKRATI,Entire home/apt,4,1,2,52,2,300,2,300,2,300,1,0,21,51,326,59,0,0.66,1,2.155475878,1.570393797
20,0,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,4,1,1,55,3,365,3,365,3,365,1,23,53,83,358,177,0,1.6,1,1.602246086,1.119693359
21,1,1,0,AKROPOLI,Entire home/apt,3,1,0,60,2,365,2,365,2,365,1,18,48,78,353,31,1,0.39,1,0.552395833,0.974680948
22,1,1,1,STADIO,Entire home/apt,4,1,2,61,1,730,2,730,2,730,1,11,39,67,342,173,1,1.79,1,1.784220321,1.370591025
23,0,1,0,PATISIA,Entire home/apt,4,1.5,4,74,14,730,14,730,14,730,0,0,0,0,0,0,0,1.2,0,4.20385133,3.69416333
24,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,2,35,2,30,2,30,2,30,1,0,0,25,300,116,0,1.02,0,0.713143633,0.187794799
25,0,1,0,GKAZI,Private room,2,1,1,30,7,730,7,730,7,730,0,0,0,0,0,0,0,1.2,0,1.568636461,2.231038875
26,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,2,1,1,36,2,30,2,30,2,30,1,6,6,31,306,51,0,0.44,0,0.540787817,0.335958535
27,0,1,0,ANO PATISIA,Entire home/apt,4,1,1,129,5,365,5,365,5,365,1,30,60,90,365,1,0,0.01,0,5.392054416,4.854986305
28,0,1,0,AGIOS KONSTANTINOS-PLATEIA BATHIS,Entire home/apt,8,1,8,21,3,365,3,365,3,365,1,15,39,69,344,39,0,0.75,1,1.485404313,1.455293878
29,1,1,1,KERAMEIKOS,Entire home/apt,4,1,1,61,2,1125,2,1125,2,1125,1,10,38,60,306,24,0,0.27,0,0.873183892,1.106986506
30,1,1,1,KERAMEIKOS,Entire home/apt,4,1,1,62,2,1125,2,1125,2,1125,1,13,41,63,317,11,0,0.19,0,0.873183892,1.106986506
31,0,1,1,PLATEIA ATTIKIS,Entire home/apt,8,1,8,45,2,730,2,730,2,730,1,0,0,0,85,57,1,0.71,1,2.268998645,1.893719821
32,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,2,1,1,193,2,1125,3,1125,2,1125,1,12,37,65,333,472,1,5.21,1,0.668553668,0.935172264
33,1,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,2,1,1,58,4,720,4,720,4,720,1,0,24,54,329,2,1,0.03,1,2.229787277,1.472099787
34,0,1,0,PLATEIA AMERIKIS,Entire home/apt,4,1.5,3,58,2,1125,2,1125,2,1125,1,30,60,90,365,21,0,0.21,0,3.806637526,3.3744912
35,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,8,1,4,49,2,1125,2,1125,2,1125,1,0,0,0,0,195,1,1.69,1,0.681475432,0.480622569
36,1,1,1,AKROPOLI,Entire home/apt,3,1,1,65,2,365,2,1125,2,1125,1,13,35,65,340,446,1,3.93,1,0.506420742,1.04003303
37,0,1,0,AGIOS KONSTANTINOS-PLATEIA BATHIS,Entire home/apt,3,1,0,50,1,6,1,6,1,6,1,0,0,0,219,169,0,1.5,1,1.319397038,1.47418407
38,0,1,1,AMPELOKIPOI,Entire home/apt,5,1,2,29,7,1125,7,1125,7,1125,1,0,7,37,312,332,0,3.17,0,4.626246537,3.765047157
39,0,1,0,ILISIA,Entire home/apt,4,1,2,80,2,4,2,4,2,4,1,29,59,89,364,31,0,0.48,0,2.379869476,1.576637792
40,0,1,0,PLATEIA ATTIKIS,Entire home/apt,3,1,1,60,7,90,7,1125,7,1125,1,30,60,90,365,24,0,0.46,0,2.369427408,2.11392983
41,1,1,1,AGIOS KONSTANTINOS-PLATEIA BATHIS,Entire home/apt,5,1,2,55,7,120,7,1125,7,1125,1,4,7,27,27,67,1,0.75,1,2.135696938,1.835110712
42,0,1,1,NEA KYPSELI,Entire home/apt,8,2,4,1741,2,365,2,365,2,365,1,0,0,0,86,56,1,0.7,1,3.809473061,3.131086734
43,0,1,1,THISEIO,Entire home/apt,4,1,2,138,2,1125,2,1125,2,1125,1,17,44,58,313,60,1,0.59,1,0.78903037,1.438318194
44,0,1,1,THISEIO,Entire home/apt,4,1,2,81,1000,1125,2,1125,2,1125,1,0,0,0,203,16,1,0.15,1,0.626886772,1.342255948
45,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,2,50,1,1125,1,1125,1,1125,1,0,0,0,0,248,1,2.41,1,0.855055757,0.598622683
46,0,1,0,EMPORIKO TRIGONO-PLAKA,Entire home/apt,3,1,1,120,1,30,1,30,1,30,1,30,60,90,365,1,0,0.01,1,0.653404428,0.862018097
47,0,1,1,PEDIO AREOS,Entire home/apt,4,1,2,23,5,120,5,120,5,120,1,1,3,3,253,52,0,0.47,1,2.843302775,2.234651601
48,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,5,1,3,125,1,1125,1,1125,1,1125,1,19,46,76,296,255,1,2.91,1,0.140388399,0.727923183
49,0,1,0,KOYKAKI-MAKRYGIANNI,Entire home/apt,3,1,2,50,7,90,7,90,7,90,1,8,38,68,252,11,0,0.26,1,0.60527926,1.191014565
50,1,1,1,KERAMEIKOS,Entire home/apt,4,1,0,57,2,1125,2,1125,2,1125,1,17,47,69,315,8,0,0.09,0,0.873183892,1.106986506
51,1,1,1,KERAMEIKOS,Entire home/apt,8,2.5,2,120,2,1125,2,1125,2,1125,1,14,42,67,334,8,0,0.1,0,0.873183892,1.106986506
52,1,1,1,AKROPOLI,Entire home/apt,3,1,1,80,1,1125,1,1125,1,1125,1,28,58,88,360,17,0,0.42,1,0.142026675,0.730131091
53,0,1,1,STADIO,Entire home/apt,4,1,4,131,1,1125,7,1125,1.1,1125,1,0,0,0,0,9,1,0.09,1,1.536014737,1.030423701
54,1,1,0,AKROPOLI,Entire home/apt,4,1,2,40,3,30,3,30,3,30,1,1,10,22,297,102,0,1.17,1,1.220265312,2.007371348
55,1,1,1,KERAMEIKOS,Entire home/apt,16,5.5,6,321,2,1125,2,1125,2,1125,1,10,38,60,307,33,0,0.46,0,0.873183892,1.106986506
56,1,1,1,KERAMEIKOS,Entire home/apt,4,1,1,57,2,1125,2,1125,2,1125,1,10,38,60,306,7,0,0.09,0,0.873183892,1.106986506
57,1,1,1,KERAMEIKOS,Entire home/apt,4,1,2,56,2,1125,2,1125,2,1125,1,17,45,67,318,20,0,0.7,0,0.873183892,1.106986506
58,0,1,1,STADIO,Entire home/apt,5,1,4,121,1,1125,7,1125,1.1,1125,1,0,0,0,0,18,1,0.17,1,1.539798139,1.037386917
59,0,1,1,STADIO,Entire home/apt,4,1,3,63,1,1125,1,1125,1,1125,1,0,0,0,0,5,1,0.05,1,1.539798139,1.037386917
60,1,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,2,1,1,62,3,1125,3,1125,3,1125,1,30,60,90,365,34,1,0.35,0,0.692788696,1.212219021
61,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,3,1,1,88,2,1125,2,1125,2,1125,1,0,0,0,207,32,0,0.41,0,0.506520792,0.375284383
62,0,1,1,STADIO,Entire home/apt,2,1,1,131,1,1125,7,1125,1.1,1125,1,0,0,0,0,98,1,1.29,1,1.538954442,1.036802744
63,0,1,1,STADIO,Entire home/apt,4,1,2,121,1,1125,7,1125,1.1,1125,1,0,0,0,0,4,1,0.05,1,1.538954442,1.036802744
64,0,1,1,STADIO,Entire home/apt,2,1,2,79,1,365,7,365,1.1,365,1,0,0,0,0,76,1,0.97,1,1.536014737,1.030423701
65,0,1,1,STADIO,Entire home/apt,4,1,2,170,1,1125,7,1125,1.1,1125,1,0,0,0,0,0,1,1.2,1,1.538954442,1.036802744
66,0,1,0,PETRALONA,Entire home/apt,5,1.5,0,60,3,90,3,90,3,90,1,23,53,83,358,14,1,0.18,1,1.215544797,2.07342819
67,1,1,1,GOYBA,Entire home/apt,13,4,11,323,3,60,3,1125,3,1125,1,23,53,83,83,13,1,0.19,1,1.706961482,1.647627562
68,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,3,1,2,38,2,1125,2,1125,2,1125,1,16,46,76,351,367,1,4.03,1,0.672719117,0.199840571
69,1,1,1,1O NEKROTAFEIO,Entire home/apt,8,2,5,184,3,30,3,1125,3,1125,1,30,60,90,90,10,1,0.13,1,1.61378636,1.478625119
70,0,1,1,PROMPONA,Entire home/apt,4,1,1,28,2,60,2,60,2,60,1,0,0,0,147,246,0,2.39,1,5.903909147,5.489457848
71,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,2,1,1,70,2,365,2,1125,2,1125,1,0,0,0,0,142,1,1.39,1,0.323150203,0.595718184
72,0,1,0,GOYDI,Entire home/apt,4,1.5,1,32,3,1095,3,1095,3,1095,1,0,23,53,242,66,0,0.73,1,3.805594764,2.938907111
73,1,1,1,AKROPOLI,Entire home/apt,4,1,3,75,2,1125,2,1125,2,1125,1,20,50,80,355,186,1,2.43,1,0.527966597,1.009370599
74,0,1,0,EMPORIKO TRIGONO-PLAKA,Entire home/apt,6,2,5,600,7,1125,7,1125,7,1125,1,30,60,90,365,0,0,1.2,0,0.89300842,0.293691015
75,1,1,1,GKAZI,Entire home/apt,5,1,3,33,2,30,2,1125,2,1125,1,9,35,51,233,271,0,4.18,1,1.468754838,2.206481936
76,1,1,1,KERAMEIKOS,Entire home/apt,8,2.5,2,120,2,1125,2,1125,2,1125,1,10,38,63,330,27,0,0.31,0,0.86622072,1.105893159
77,0,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,2,1.5,1,50,5,1125,5,1125,5,1125,1,1,1,1,239,38,0,0.58,1,1.947206609,1.310755673
78,0,1,1,STADIO,Private room,2,1,1,25,2,10,2,10,2,10,1,28,58,88,268,109,0,1.38,0,1.088808193,1.046922649
79,0,1,1,STADIO,Entire home/apt,6,1,3,55,2,15,2,15,2,15,1,27,57,87,177,57,0,0.55,0,1.048540749,1.06809125
80,0,1,1,NEOS KOSMOS,Entire home/apt,5,2,3,90,5,90,28,90,8.9,951.7,1,4,34,34,220,223,1,2.54,1,1.048247917,1.473679304
81,1,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,3,1,1,39,3,400,3,1125,3,1125,1,0,0,0,50,84,1,0.89,1,2.150402535,1.44694189
82,1,1,1,KOLONOS,Entire home/apt,4,1,2,32,3,1125,3,1125,3,1125,1,17,47,77,352,462,1,4.64,1,3.283379867,3.256258051
83,0,1,1,THISEIO,Entire home/apt,4,1,2,50,5,36,5,1125,5,1125,1,15,45,75,165,126,1,1.25,1,0.904073436,1.696206924
84,1,1,1,AKROPOLI,Entire home/apt,8,1,5,52,3,1125,3,1125,3,1125,1,15,45,75,341,303,1,3.25,1,1.206911423,1.991046806
85,1,1,1,PAGKRATI,Entire home/apt,12,4,8,301,3,60,3,1125,3,1125,1,30,60,90,90,6,1,0.09,1,2.215074444,1.661832849
86,0,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,2,1,1,22,3,1125,3,1125,3,1125,1,0,0,11,11,463,1,4.4,1,2.189186174,1.588192937
87,0,1,1,PLATEIA ATTIKIS,Entire home/apt,8,1,8,45,2,1125,2,1125,2,1125,1,0,0,0,54,16,1,0.15,1,2.267373428,1.893079193
88,0,1,1,PETRALONA,Private room,1,1,1,25,19,60,19,60,19,60,1,2,3,4,4,4,0,0.07,0,0.953424225,1.765947765
89,1,1,1,NIRBANA,Entire home/apt,4,1,2,25,3,20,3,1125,3,1125,1,5,24,43,312,445,1,4.11,1,4.72065559,4.436562555
90,0,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,4,1,2,79,6,1125,6,1125,6,1125,1,0,0,22,297,87,0,1.02,1,0.647883386,1.151048258
91,0,1,1,PLATEIA AMERIKIS,Entire home/apt,2,1,0,45,3,1125,3,1125,3,1125,1,3,33,63,338,175,0,1.91,1,3.534136495,3.149400145
92,0,1,0,KERAMEIKOS,Entire home/apt,4,1,4,59,1,30,1,30,1,30,1,30,60,90,90,73,0,0.79,0,1.050337456,1.250097571
93,0,1,0,AGIOS KONSTANTINOS-PLATEIA BATHIS,Entire home/apt,4,3.5,1,350,3,1125,3,1125,3,1125,1,30,60,90,365,2,0,0.02,0,1.3881799,1.546530079
94,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,4,67,2,365,2,365,2,365,1,27,57,87,362,50,1,0.48,0,1.435124837,1.157760363
95,0,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,3,2,1,70,3,60,3,60,3,60,1,27,57,87,362,0,0,1.2,0,1.919813053,1.426965677
96,0,1,1,PLATEIA ATTIKIS,Entire home/apt,7,1.5,7,30,1,365,1,365,1,365,1,30,60,90,365,1,0,0.02,1,2.903746985,2.605220127
97,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,2,1,1,255,2,1125,2,1125,2,1125,1,25,55,83,348,277,0,2.71,1,0.671798591,1.022421101
98,0,1,1,ANO PATISIA,Entire home/apt,2,1,1,30,3,90,3,90,3,90,1,0,5,14,145,5,0,0.17,0,5.526902104,5.038563751
99,1,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,4,1,2,74,3,90,3,1125,3,1125,1,0,2,3,213,77,0,1.15,0,1.210682207,1.898116861
100,0,1,0,KOLONAKI,Entire home/apt,3,1,2,120,1,30,1,1125,1,1125,1,24,54,84,359,3,1,0.07,1,2.346849778,1.485559258
101,0,1,1,AMPELOKIPOI,Entire home/apt,4,1,3,35,3,1125,3,1125,3,1125,1,0,0,0,6,30,0,0.33,0,2.787564508,1.927788969
102,0,1,0,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,3,1,2,55,4,200,4,200,4,200,1,28,58,88,363,30,0,0.44,1,1.793691835,1.362921973
103,0,1,1,ILISIA,Entire home/apt,6,1,2,60,2,1125,2,1125,2,1125,1,0,10,40,315,23,1,0.29,1,2.579707539,1.728675067
104,0,1,1,KYPSELI,Entire home/apt,2,1,1,45,3,1125,3,1125,3,1125,1,28,58,88,363,19,0,0.22,1,3.023477885,2.449830211
105,1,1,1,AGIOS KONSTANTINOS-PLATEIA BATHIS,Private room,2,1,1,40,2,90,2,90,2,90,1,0,0,0,178,46,0,0.45,1,1.200791736,1.468612171
106,1,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,2,1,1,40,2,365,2,365,2,365,1,1,17,34,292,341,0,3.84,1,2.082916191,1.445126349
107,1,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,3,1,0,40,2,365,2,365,2,365,1,13,42,66,341,362,0,3.68,1,2.021058058,1.421188401
108,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,5,1.5,3,130,2,60,2,1125,2,1125,1,0,0,0,0,282,1,2.75,1,0.576127106,0.310336771
109,0,1,1,ANO KYPSELI,Entire home/apt,3,1,0,18,30,300,30,300,30,300,1,1,1,1,132,114,0,1.11,1,3.79489684,3.175853075
110,1,1,0,PLATEIA ATTIKIS,Entire home/apt,5,1.5,4,50,7,30,7,1125,7,1125,1,27,57,87,362,56,0,1.15,0,2.395589463,2.031089682
111,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,2,1,1,40,3,60,3,1125,3,1125,1,1,13,32,252,389,1,3.81,1,0.610895963,0.8341626
112,1,1,1,AKROPOLI,Entire home/apt,2,1,1,32,2,60,2,1125,2,1125,1,0,0,0,0,363,1,3.91,1,0.362015472,0.698003299
113,1,1,1,KERAMEIKOS,Entire home/apt,12,3.5,3,176,2,1125,2,1125,2,1125,1,11,39,64,318,23,0,0.38,0,0.873183892,1.106986506
114,1,1,1,KOLONAKI,Entire home/apt,5,1,2,60,4,1125,4,1125,4,1125,1,0,20,50,141,35,0,0.4,1,1.872399193,1.006116891
115,1,1,1,KOLONAKI,Entire home/apt,6,1.5,4,137,2,1125,2,1125,2,1125,1,12,19,19,249,181,1,1.79,1,1.862694438,1.017199409
116,0,1,1,KERAMEIKOS,Entire home/apt,4,1.5,2,90,7,30,7,30,7,30,1,0,0,0,25,11,0,0.12,1,0.91836011,1.141933769
117,0,1,1,GOYDI,Entire home/apt,4,2,4,73,2,600,2,600,2,600,1,30,60,90,365,12,0,0.14,0,2.893188719,2.027621686
118,1,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,3,1,3,34,3,1125,3,1125,3,1125,1,0,0,0,189,5,0,0.08,1,2.532584897,1.747028262
119,0,1,1,AKADIMIA PLATONOS,Entire home/apt,4,1,3,150,2,1125,2,1125,2,1125,1,0,0,0,0,32,0,0.32,0,1.731597923,2.017828203
120,1,1,1,KERAMEIKOS,Entire home/apt,16,4.5,4,242,2,1125,2,1125,2,1125,1,17,45,67,317,24,0,0.28,0,0.873183892,1.106986506
121,0,1,1,NEOS KOSMOS,Entire home/apt,3,1,2,50,3,95,3,95,3,95,1,0,0,0,147,33,0,0.33,0,1.123187115,1.398402053
122,0,1,1,PLATEIA ATTIKIS,Entire home/apt,8,1.5,9,50,2,365,2,365,2,365,1,0,0,0,54,21,1,0.24,1,2.473347913,2.154378376
123,1,1,1,AKROPOLI,Entire home/apt,4,1,2,65,1,1125,1,1125,1,1125,1,0,0,0,92,344,1,3.44,1,0.628627516,1.33901494
124,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1.5,3,70,2,1125,2,1125,2,1125,1,23,53,83,358,64,0,0.64,1,0.565988433,0.589549516
125,0,1,0,THISEIO,Entire home/apt,4,1,3,55,2,365,2,1125,2,1125,1,0,0,0,225,202,1,2.36,1,0.631595082,1.174900812
126,0,1,1,KOYKAKI-MAKRYGIANNI,Entire home/apt,3,1,1,60,2,20,2,20,2,20,1,29,59,89,364,108,0,1.09,0,1.064407433,1.810567302
127,0,1,1,ZAPPEIO,Entire home/apt,3,1,1,35,1,15,1,1125,1,1125,1,13,30,53,328,745,1,7.34,1,1.035558343,0.87462218
128,1,1,1,AKROPOLI,Entire home/apt,2,1,1,64,2,1125,2,1125,2,1125,1,11,11,11,226,283,1,2.82,1,0.521624744,0.974290515
129,0,1,1,1O NEKROTAFEIO,Entire home/apt,2,1,1,30,3,1125,3,1125,3,1125,1,0,0,0,240,8,0,0.08,0,1.33932597,1.253185653
130,0,1,1,AMPELOKIPOI,Entire home/apt,3,1,2,40,2,180,2,180,2,180,1,25,55,85,360,172,0,1.78,1,4.367620162,3.521155792
131,1,1,1,AKROPOLI,Entire home/apt,6,2.5,4,239,2,30,2,30,2,30,1,14,41,63,333,234,1,2.46,1,0.369832231,0.748059161
132,0,1,1,AKROPOLI,Entire home/apt,6,2,3,145,3,30,3,30,3,30,1,26,56,83,344,199,0,2.19,1,0.353226696,0.799260026
133,0,1,0,LYKABITTOS,Entire home/apt,2,1,1,27,3,1125,3,1125,3,1125,0,0,0,0,0,10,0,0.14,0,1.528079338,0.676988554
134,0,1,1,AKADIMIA PLATONOS,Entire home/apt,4,1,3,144,3,1000,3,1000,3,1000,1,0,0,0,0,58,0,0.63,1,2.601981517,2.893543011
135,1,1,1,KYPSELI,Private room,2,1.5,2,30,3,1125,3,1125,3,1125,1,0,19,49,324,151,0,1.53,1,3.04747028,2.523190083
136,0,1,0,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,5,1,4,60,1,30,1,30,1,30,1,26,56,86,361,63,0,0.63,0,1.475841086,0.910823593
137,1,1,1,KERAMEIKOS,Entire home/apt,3,1,1,52,1,1125,1,1125,1,1125,1,2,9,33,308,211,0,2.64,1,1.315454272,1.806223667
138,1,1,1,1O NEKROTAFEIO,Entire home/apt,2,1,1,25,3,1125,3,1125,3,1125,1,0,0,0,266,163,0,1.65,1,1.475978904,1.248721912
139,0,1,1,PLATEIA ATTIKIS,Entire home/apt,5,1.5,4,53,2,1125,2,1125,2,1125,1,29,59,89,364,13,0,0.2,0,2.329735727,2.014231657
140,0,1,1,AMPELOKIPOI,Entire home/apt,2,1,1,48,5,1125,5,1125,5,1125,1,0,6,7,9,8,0,0.14,0,3.246280948,2.392152952
141,0,1,1,ILISIA,Entire home/apt,4,1,2,69,444,1125,444,1125,444,1125,1,30,60,90,365,12,0,0.12,0,2.505082806,1.746302767
142,0,1,1,AMPELOKIPOI,Entire home/apt,6,1.5,3,50,1,30,1,1125,1,1125,1,0,0,0,147,272,0,3.04,1,4.320790853,3.470270111
143,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,3,80,2,1125,2,1125,2,1125,1,17,35,55,208,45,0,0.66,1,0.735153585,0.154816784
144,1,1,1,NIRBANA,Entire home/apt,6,1,2,32,2,30,2,1125,2,1125,1,6,31,46,279,386,1,4.33,1,4.72065559,4.436562555
145,1,1,0,KERAMEIKOS,Entire home/apt,6,1.5,4,50,1,1125,1,1125,1,1125,1,0,2,16,133,80,0,0.87,1,1.214397055,1.60306643
146,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,3,1,2,49,1,1125,1,1125,1,1125,1,0,0,0,126,326,1,3.9,1,0.553835156,0.645567665
147,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,6,1.5,2,112,2,365,2,365,2,365,1,30,60,90,365,88,1,0.94,0,1.302122482,1.065722543
148,0,1,0,AKROPOLI,Entire home/apt,4,2,3,100,3,30,3,30,3,30,1,29,59,89,364,3,0,0.03,0,0.750701286,1.554812303
149,0,1,0,AKROPOLI,Private room,2,1,1,40,2,1125,2,1125,2,1125,1,29,59,89,364,15,0,0.17,0,0.786023993,1.598020778
150,1,1,1,KYPSELI,Private room,2,1.5,1,30,3,1125,3,1125,3,1125,1,1,19,49,230,83,0,1.04,1,3.265933775,2.740842946
151,1,1,0,KOYKAKI-MAKRYGIANNI,Entire home/apt,4,1,2,60,3,1125,3,1125,3,1125,1,0,19,49,229,560,1,5.61,1,1.194027942,1.91607297
152,0,1,1,LYKABITTOS,Entire home/apt,6,2,3,139,2,28,2,1125,2,1125,1,14,44,74,330,135,0,1.37,1,1.531354359,0.665921008
153,0,1,0,PETRALONA,Entire home/apt,5,0,1,44,1,1125,1,1125,1,1125,0,0,0,0,0,0,0,1.2,0,1.622816555,2.477131827
154,1,1,1,KOLONOS,Entire home/apt,2,1,1,45,2,1000,2,1125,2,1125,1,12,42,64,337,401,1,5.25,1,2.990652002,2.938827652
155,1,1,1,KOLONAKI,Entire home/apt,2,1.5,2,85,6,365,6,1125,6,1125,1,6,6,6,227,66,0,0.77,1,1.572501575,0.714826009
156,0,1,0,KOLONAKI,Entire home/apt,2,1,1,45,5,1125,5,1125,5,1125,1,6,16,22,297,16,0,0.2,0,1.543795084,0.6860053
157,1,1,1,PETRALONA,Entire home/apt,2,1,2,74,30,1125,30,1125,30,1125,1,6,36,66,341,10,0,0.16,1,1.383042526,2.240926054
158,0,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,2,1,1,46,3,90,3,90,3,90,1,1,31,61,336,3,0,0.05,1,2.475017492,1.666885211
159,1,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,2,1,1,72,3,365,3,1125,3,1125,1,25,55,85,176,29,1,10.12,1,1.684268505,0.935202108
160,0,1,0,NEOS KOSMOS,Entire home/apt,4,1,1,37,5,25,5,25,5,25,1,30,60,90,365,0,0,1.2,0,1.766044385,1.840501731
161,1,1,1,BOTANIKOS,Entire home/apt,6,2,3,78,2,30,2,1125,2,1125,1,0,0,0,84,34,1,1.33,1,1.628871624,2.304226555
162,0,1,1,THISEIO,Entire home/apt,3,1,0,48,5,1125,5,1125,5,1125,1,3,33,63,338,14,0,0.18,0,1.037107263,1.830604011
163,1,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,2,1.5,1,19,5,100,5,1125,5,1125,1,0,0,0,103,67,0,0.75,1,2.143084116,1.504772421
164,1,1,1,AGIOS KONSTANTINOS-PLATEIA BATHIS,Entire home/apt,2,1,3,35,3,1125,3,1125,3,1125,1,6,36,66,340,243,1,2.72,1,1.729195733,1.783693826
165,1,1,1,NEOS KOSMOS,Entire home/apt,4,1,2,23,3,60,3,1125,3,1125,1,0,14,44,319,134,1,1.46,1,1.446608004,2.008453564
